,levels.factor.species_abundance_3.scientific_name..,
124,Megamonas hypermegale,Megamonas hypermegale: Veillonellaceae
125,Methanobrevibacter smithii,Methanobrevibacter smithii: Methanobacteriaceae
126,Mitsuokella multacida,Mitsuokella multacida: Veillonellaceae
127,Odoribacter laneus,Odoribacter laneus: Porphyromonadaceae
128,Odoribacter splanchnicus,Odoribacter splanchnicus: Porphyromonadaceae
129,Oscillibacter sp. KLE 1728,Oscillibacter sp. KLE 1728: Oscillospiraceae
130,Oscillibacter sp. KLE 1745,Oscillibacter sp. KLE 1745: Oscillospiraceae
131,Other,Other: Other
132,Oxalobacter formigenes,Oxalobacter formigenes: Oxalobacteraceae
133,Parabacteroides distasonis,Parabacteroides distasonis: Tannerellaceae
134,Parabacteroides goldsteinii,Parabacteroides goldsteinii: Tannerellaceae
135,Parabacteroides johnsonii,Parabacteroides johnsonii: Tannerellaceae
136,Parabacteroides merdae,Parabacteroides merdae: Tannerellaceae
137,Paraprevotella clara,Paraprevotella clara: Prevotellaceae
138,Paraprevotella xylaniphila,Paraprevotella xylaniphila: Prevotellaceae
139,Parasutterella excrementihominis,Parasutterella excrementihominis: Succinivibrionaceae
140,Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens: Succinivibrionaceae
141,Prevotella bivia,Prevotella bivia: Prevotellaceae
142,Prevotella copri,Prevotella copri: Prevotellaceae
143,Prevotella denticola,Prevotella denticola: Prevotellaceae
144,Prevotella disiens,Prevotella disiens: Prevotellaceae
145,Prevotella stercorea,Prevotella stercorea: Prevotellaceae
146,Prevotella veroralis,Prevotella veroralis: Prevotellaceae
147,Propionibacterium freudenreichii,Propionibacterium freudenreichii: Propionibacteriaceae
148,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus: Lachnospiraceae
149,Pseudomonas fragi,Pseudomonas fragi: Pseudomonadaceae
150,Roseburia hominis,Roseburia hominis: Lachnospiraceae
151,Roseburia intestinalis,Roseburia intestinalis: Lachnospiraceae
152,Roseburia inulinivorans,Roseburia inulinivorans: Lachnospiraceae
153,Rothia mucilaginosa,Rothia mucilaginosa: Micrococcaceae
154,Ruminococcaceae bacterium D16,Ruminococcaceae bacterium D16: Ruminococcaceae
155,Ruminococcus albus,Ruminococcus albus: Ruminococcaceae
156,Ruminococcus bromii,Ruminococcus bromii: Ruminococcaceae
157,Ruminococcus callidus,Ruminococcus callidus: Ruminococcaceae
158,Ruminococcus champanellensis,Ruminococcus champanellensis: Ruminococcaceae
159,Ruminococcus flavefaciens,Ruminococcus flavefaciens: Ruminococcaceae
160,Ruminococcus lactaris,Ruminococcus lactaris: Ruminococcaceae
161,Shigella sonnei,Shigella sonnei: Enterobacteriaceae
162,Slackia piriformis,Slackia piriformis: Coriobacteriaceae
163,Streptococcus australis,Streptococcus australis: Streptococcaceae
164,Streptococcus gordonii,Streptococcus gordonii: Streptococcaceae
165,Streptococcus mitis,Streptococcus mitis: Streptococcaceae
166,Streptococcus mutans,Streptococcus mutans: Streptococcaceae
167,Streptococcus parasanguinis,Streptococcus parasanguinis: Streptococcaceae
168,Streptococcus salivarius,Streptococcus salivarius: Streptococcaceae
169,Streptococcus sanguinis,Streptococcus sanguinis: Streptococcaceae
170,Streptococcus thermophilus,Streptococcus thermophilus: Streptococcaceae
171,Streptococcus vestibularis,Streptococcus vestibularis: Streptococcaceae
172,Subdoligranulum sp. 4_3_54A2FAA,Subdoligranulum sp. 4_3_54A2FAA: Coriobacteriaceae
173,Subdoligranulum variabile,Subdoligranulum variabile: Coriobacteriaceae
174,Sutterella wadsworthensis,Sutterella wadsworthensis: Sutterellaceae
175,Veillonella atypica,Veillonella atypica: Veillonellaceae
176,Veillonella dispar,Veillonella dispar: Veillonellaceae
177,Veillonella parvula,Veillonella parvula: Veillonellaceae
